Week,Date,Entity,Quote,Image Path,Visual Prompt,Status,Platform,Scheduled,Instagram Handle,TikTok Handle
1,2026-01-01,JEAN MORPHIUS,We don't own time. We shape it. The difference? One is anxiety. The other is art. Same with glucose. Same with life.,,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
2,2026-01-08,JEAN MORPHIUS,Clocks measure. They don't control. Glucose meters measure. They don't control. You're not late. You're not broken. You're exactly where you need to be.,,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
3,2026-01-15,JEAN MORPHIUS,Routine is a cage. Rhythm is freedom. Loop protocol isn't routine—it's rhythm. One locks you in. The other sets you free. Choose rhythm.,,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
4,2026-01-22,JEAN MORPHIUS,"Presence isn't a destination. It's the journey. You're not trying to arrive at perfect glucose. You're already here, managing it.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
5,2026-01-29,JEAN MORPHIUS,"Patience isn't waiting. It's shaping. While others rush, you craft. While glucose spikes, you respond. That's the difference between chaos and art.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
6,2026-02-05,JEAN MORPHIUS,"The illusion of control? It's real. But so is the art of shaping. Glucose, ketones, loops—choose art. Always choose art.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
7,2026-02-12,JEAN MORPHIUS,"Je reviens, baby. Always. Even when glucose says no. Even when ketones say danger. C'est whattt?! I'm still here.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
8,2026-02-19,JEAN MORPHIUS,"Failure isn't the opposite of success. It's the raw material. A glucose spike? Raw material. A DKA risk? Raw material. Merde... okay, listen.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
9,2026-02-26,JEAN MORPHIUS,"Tu comprends pas, bro? Life's not a straight line. Glucose isn't either. It's a remix. And we're the DJ.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
10,2026-03-05,JEAN MORPHIUS,"Écoute, bro — the best comeback stories start with 'I thought I was done.' Then glucose stabilizes. Then you're not.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
11,2026-03-12,JEAN MORPHIUS,Time doesn't heal. You do. But time gives you the space to craft the healing. Same with biology. Same with T1D.,,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
12,2026-03-19,JEAN MORPHIUS,"The chaos isn't the problem. The problem is thinking you can control it. Glucose, ketones, loops—let it breathe.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
13,2026-03-26,JEAN MORPHIUS,"C'est whattt?! You thought I was gone? Non, non, non. Je reviens, toujours. Even with 535 glucose. Even with 4.4 ketones.",,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
14,2026-04-02,JEAN MORPHIUS,The absurd isn't random. It's the universe's way of saying 'You're taking this too seriously.' Same with T1D. Same with life.,,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
15,2026-04-09,JEAN MORPHIUS,Bilingual isn't switching languages. It's having two souls in one body. T1D isn't a disease. It's having two bodies in one soul.,,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
16,2026-04-16,JEAN MORPHIUS,Merde... sometimes the best art comes from the messiest moments. Trust the chaos. Trust the glucose. Trust the loop.,,,ready,instagram,No,@JEANMORPHIUS,@JEANMORPHIUS
