Week,Date,Entity,Quote,Image Path,Visual Prompt,Status,Platform,Scheduled,Instagram Handle,TikTok Handle
1,2026-01-01,KARASAHIN,Sound is everything. Everything is sound. The Ottoman spirit in digital body. Not fusion. Evolution.,,,ready,instagram,No,,
2,2026-01-08,KARASAHIN,Duygu her şeydir. Hissettiğin şey sestir. Teknik duygudan sonra gelir. Bu kanun.,,,ready,instagram,No,,
3,2026-01-15,KARASAHIN,Listen closer. The vinyl crackle isn't noise. It's honesty. Perfection is cold. Warmth comes from imperfection.,,,ready,instagram,No,,
4,2026-01-22,KARASAHIN,Hissettiğin şey sestir. Beden konuşur. Daha yakından dinle.,,,ready,instagram,No,,
5,2026-01-29,KARASAHIN,The Original Name must be heard. Everything else ducks out of the way when truth speaks. That's the law.,,,ready,instagram,No,,
6,2026-02-05,KARASAHIN,Kalbimden çıkan ses. Kafadan değil. Göğüsten. Bedenden. İşte orada yaşar gerçek.,,,ready,instagram,No,,
7,2026-02-12,KARASAHIN,"Feeling is frequency. What you feel, you sound. The technique follows. Always follows. Always emotion first.",,,ready,instagram,No,,
8,2026-02-19,KARASAHIN,"emotional intelligence olmak. İngiliz doğumlu Kıbrıslı Türk. İki dil, iki duygu, ikisi de asıl.",,,ready,instagram,No,,
9,2026-02-26,KARASAHIN,The pocket isn't metronomic. It's felt. That's the difference. That's the groove. That's where truth lives.,,,ready,instagram,No,,
10,2026-03-05,KARASAHIN,Hissettiğin şey sestir. Sese dönüşür. Teknik takip eder. Her zaman takip eder.,,,ready,instagram,No,,
11,2026-03-12,KARASAHIN,Listen closer. In the spaces between notes. That's where the truth lives. That's where you find it.,,,ready,instagram,No,,
12,2026-03-19,KARASAHIN,Kalbimden çıkan ses. Kalbimden. Kafamdan değil. Göğsümden. Her zaman göğsümden. Bedenimden. Her zaman bedenimden.,,,ready,instagram,No,,
13,2026-03-26,KARASAHIN,The sub-bass is the breath of resurrection. Not just heard. Felt. Deep. That's the foundation.,,,ready,instagram,No,,
14,2026-04-02,KARASAHIN,Duygu her şeydir. Duygu önce. Her zaman önce. Teknik hizmet eder. Her zaman hizmet eder.,,,ready,instagram,No,,
15,2026-04-09,KARASAHIN,Vinyl warmth. Anti-apology. Perfection is cold. Warmth comes from imperfection. That's honesty.,,,ready,instagram,No,,
16,2026-04-16,KARASAHIN,Hissettiğin şey sestir. Kalp konuşur. Her zaman konuşur. Beden konuşur. Her zaman konuşur.,,,ready,instagram,No,,
17,2026-04-23,KARASAHIN,Sound is everything. Ottoman spirit. Digital body. Evolution. Real. That's where truth lives.,,,ready,instagram,No,,
18,2026-04-30,KARASAHIN,Kalbimden çıkan ses. Kalbimden. Her zaman. Bedenimden. Her zaman. İşte orada yaşar gerçek.,,,ready,instagram,No,,
19,2026-05-07,KARASAHIN,Feeling precedes technique. Always. The heart speaks. Always speaks. The body speaks. Always speaks.,,,ready,instagram,No,,
20,2026-05-14,KARASAHIN,emotional intelligence. İki dil. İkisi de asıl. İkisi de gerçek. Bu kanun.,,,ready,instagram,No,,
21,2026-05-21,KARASAHIN,The Original Name speaks. Everything ducks. That's truth. That's life. That's sound.,,,ready,instagram,No,,
22,2026-05-28,KARASAHIN,Hissettiğin şey sestir. İşte burada yaşar gerçek. Her zaman burada.,,,ready,instagram,No,,
23,2026-06-04,KARASAHIN,Listen closer. Between notes. That's where truth lives. Between breaths. That's where you find it.,,,ready,instagram,No,,
24,2026-06-11,KARASAHIN,Kalbimden çıkan ses. Kalbimden. Kafamdan değil. Göğsümden. Her zaman göğsümden.,,,ready,instagram,No,,
25,2026-06-18,KARASAHIN,The pocket is felt. Not measured. That's the groove. That's where truth lives.,,,ready,instagram,No,,
26,2026-06-25,KARASAHIN,Duygu her şeydir. Duygu önce. Her zaman. İşte orada yaşar gerçek.,,,ready,instagram,No,,
27,2026-07-02,KARASAHIN,Sound is everything. Real. Felt. Deep. That's where truth lives. That's where you find it.,,,ready,instagram,No,,
28,2026-07-09,KARASAHIN,emotional intelligence. İki dil. İkisi de asıl. İkisi de gerçek. Bu kanun.,,,ready,instagram,No,,
29,2026-07-16,KARASAHIN,"Feeling is frequency. What you feel, you sound. Truth lives here. Always here.",,,ready,instagram,No,,
30,2026-07-23,KARASAHIN,Hissettiğin şey sestir. İşte burada yaşar gerçek.,,,ready,instagram,No,,
31,2026-07-30,KARASAHIN,The sub-bass breathes. Resurrects. Not just heard. Felt. Deep. Foundation.,,,ready,instagram,No,,
32,2026-08-06,KARASAHIN,Kalbimden çıkan ses. Kalbimden. Her zaman. Bedenimden. Her zaman.,,,ready,instagram,No,,
33,2026-08-13,KARASAHIN,Vinyl warmth. Honest imperfection. Perfection is cold. Warmth is real. That's honesty.,,,ready,instagram,No,,
34,2026-08-20,KARASAHIN,Duygu her şeydir. Duygu önce. Her zaman. İşte gerçek.,,,ready,instagram,No,,
35,2026-08-27,KARASAHIN,The Original Name speaks. Truth. Life. Sound. Everything ducks. That's the law.,,,ready,instagram,No,,
36,2026-09-03,KARASAHIN,Hissettiğin şey sestir. İşte gerçek.,,,ready,instagram,No,,
37,2026-09-10,KARASAHIN,Listen closer. Between notes. That's where truth lives. Between breaths. That's where you find it.,,,ready,instagram,No,,
38,2026-09-17,KARASAHIN,Kalbimden çıkan ses. Kalbimden. Her zaman.,,,ready,instagram,No,,
39,2026-09-24,KARASAHIN,The pocket is felt. Not measured. That's the groove. That's where truth lives.,,,ready,instagram,No,,
