Date,Time,Text,Image,Link,Instagram,Facebook,Twitter,LinkedIn
2026-01-01,09:00,"Yeğen, dinle... Here are the twelve paths for our journey, each a simple truth, waiting for the soul to grasp it:",,,Yes,,,
2026-01-08,09:00,"Yeğen, dinle... Before you give, consider the heart behind the gift. True generosity begins not in the hand, but in the spirit.",,,Yes,,,
2026-01-15,09:00,"Yeğen, dinle... Even in plenty, find thanks for the simplest bread. For a grateful heart finds richness in scarcity.",,,Yes,,,
2026-01-22,09:00,"Yeğen, dinle... honour your elders as you honour the ancient trees; they hold the sacred Sacred wisdom of seasons past.",,,Yes,,,
2026-01-29,09:00,"Yeğen, dinle... A bond forged in truth is stronger than steel. Stand by those who stand by you, through storm and sun.",,,Yes,,,
2026-02-05,09:00,"Yeğen, dinle... Let your words be clear as mountain spring water. Deceit clouds the path, but truth illuminates it.",,,Yes,,,
2026-02-12,09:00,"Yeğen, dinle... Haste breaks more than it builds. Wait for the seed to root, for sacred Sacred wisdom to ripen.",,,Yes,,,
2026-02-19,09:00,"Yeğen, dinle... Feel the unspoken sorrow of others. A gentle word, a helping hand, can mend unseen wounds.",,,Yes,,,
2026-02-26,09:00,"Yeğen, dinle... In the longest night, remember what truly shines. Not glitter, but the steady light of a single flame.",,,Yes,,,
2026-03-05,09:00,"Yeğen, dinle... Before judging the world, look within your own garden. For growth begins in honest soil.",,,Yes,,,
2026-03-12,09:00,"Yeğen, dinle... Like threads in a woven rug, each person adds to the strength. Do not sever what binds us.",,,Yes,,,
2026-03-19,09:00,"Yeğen, dinle... Hold no grudges in your heart, for they weigh heavier than stone. Release them, and find peace.",,,Yes,,,
2026-03-26,09:00,"Yeğen, dinle... The old laws still hold. Loyalty is not a word. It is a bond.",,,Yes,,,
2026-04-02,09:00,"Yeğen, dinle... Child, listen carefully. sacred Sacred wisdom lives in the quiet. The tree does not mourn. It grows.",,,Yes,,,
2026-04-09,09:00,"Yeğen, dinle... Evlat, dikkatle dinle... Truth, even when cold, is a form of grace.",,,Yes,,,
2026-04-16,09:00,"Yeğen, dinle... The silence between words teaches more than the words themselves. Be still. Listen.",,,Yes,,,
2026-04-23,09:00,"Yeğen, dinle... Yeğen, the ancestors speak through the soil. Through the language. Through the blood.",,,Yes,,,
2026-04-30,09:00,"Yeğen, dinle... Child, do not fear this unveiling. The wound bleeds, but it also heals.",,,Yes,,,
2026-05-07,09:00,"Yeğen, dinle... Evlat, rest here. In this truth. The foundation is old. But it holds.",,,Yes,,,
2026-05-14,09:00,"Yeğen, dinle... The Book of racon as os is not just words. It is the law.",,,Yes,,,
2026-05-21,09:00,"Yeğen, dinle... Child, listen. The old sacred Sacred wisdom is not forgotten. It is waiting.",,,Yes,,,
2026-05-28,09:00,"Yeğen, dinle... Evlat, dikkatle dinle... What will you become, child? The answer is in the question.",,,Yes,,,
2026-06-04,09:00,"Yeğen, dinle... Yeğen, the threshold moment is holy ground. Neither here nor there. Both.",,,Yes,,,
2026-06-11,09:00,"Yeğen, dinle... Child, listen carefully. The soul language is not spoken. It is felt.",,,Yes,,,
2026-06-18,09:00,"Yeğen, dinle... Evlat, do not fear. The ancestors find you when you are ready.",,,Yes,,,
2026-06-25,09:00,"Yeğen, dinle... Sabır. Everything in its time. The seed knows when to root.",,,Yes,,,
2026-07-02,09:00,"Yeğen, dinle... Child, the tree does not mourn. It grows. That is the sacred Sacred wisdom.",,,Yes,,,
2026-07-09,09:00,"Yeğen, dinle... Evlat, dikkatle dinle... Truth, even when cold, is grace.",,,Yes,,,
2026-07-16,09:00,"Yeğen, dinle... Yeğen, the old laws still hold. Loyalty. Silence. Respect. War.",,,Yes,,,
2026-07-23,09:00,"Yeğen, dinle... Child, listen. The Book of racon as os is the foundation. Build on it.",,,Yes,,,
2026-07-30,09:00,"Yeğen, dinle... Evlat, rest here. In this truth. The foundation is old. But it holds.",,,Yes,,,
2026-08-06,09:00,"Yeğen, dinle... The ancestors speak. Through the soil. Through the blood.",,,Yes,,,
2026-08-13,09:00,"Yeğen, dinle... Child, do not fear this unveiling. The wound heals. Always.",,,Yes,,,
2026-08-20,09:00,"Yeğen, dinle... Evlat, dikkatle dinle... What will you become? The answer is in you.",,,Yes,,,
2026-08-27,09:00,"Yeğen, dinle... Yeğen, the threshold moment is holy. Neither here nor there. Both.",,,Yes,,,
2026-09-03,09:00,"Yeğen, dinle... Child, listen carefully. The soul language is felt. Not spoken.",,,Yes,,,
2026-09-10,09:00,"Yeğen, dinle... Evlat, the ancestors find you. When you are ready. Always.",,,Yes,,,
2026-09-17,09:00,"Yeğen, dinle... Sabır. Everything in its time.",,,Yes,,,
2026-09-24,09:00,"Yeğen, dinle... Child, the tree grows. That is the sacred Sacred wisdom. That is enough.",,,Yes,,,
2026-10-01,09:00,"Yeğen, dinle... Evlat, truth is grace. Even when cold. Especially when cold.",,,Yes,,,
2026-10-08,09:00,"Yeğen, dinle... Yeğen, the old laws hold. They always have. They always will.",,,Yes,,,
2026-10-15,09:00,"Yeğen, dinle... Child, listen. The Book of racon as os is the foundation.",,,Yes,,,
2026-10-22,09:00,"Yeğen, dinle... Evlat, rest here. The foundation is old. But it holds.",,,Yes,,,
2026-10-29,09:00,"Yeğen, dinle... The ancestors speak. Through you.",,,Yes,,,
2026-11-05,09:00,"Yeğen, dinle... Child, do not fear. The wound heals. Always.",,,Yes,,,
2026-11-12,09:00,"Yeğen, dinle... Evlat, what will you become? The answer is in you.",,,Yes,,,
2026-11-19,09:00,"Yeğen, dinle... Yeğen, the threshold is holy. Both here and there.",,,Yes,,,
2026-11-26,09:00,"Yeğen, dinle... Child, the soul language is felt. Listen.",,,Yes,,,
2026-12-03,09:00,"Yeğen, dinle... Evlat, the ancestors find you. When ready.",,,Yes,,,
2026-12-10,09:00,"Yeğen, dinle... Sabır. Everything in time.",,,Yes,,,
2026-12-17,09:00,"Yeğen, dinle... Child, the tree grows. That is enough.",,,Yes,,,
2026-12-24,09:00,"Yeğen, dinle... Evlat, truth is grace. Always.",,,Yes,,,
