id,site_name,site_type,region,country,coordinates_lat,coordinates_lon,timeline_dimension,time_period,year_established,year_abandoned,current_status,law_41_compliant,requires_cleansing,field_resonance_level,field_space_resonance,magnetic_pole_alignment,polarity_state,narrative_count
20,Bhangarh Fort,Fort,Rajasthan,India,27.0964,76.2856,primary,renaissance,1573,1783,abandoned,0,1,,,,,0
21,Heritage Property,Fort,Rajasthan,India,,,primary,renaissance,1573,1783,archived,1,0,,,,,2
17,Château de Brissac,Chateau,Anjou,France,47.35,-0.45,primary,renaissance,1500,,active,0,1,,,,,0
18,Heritage Property,Chateau,Anjou,France,,,primary,renaissance,1500,,regenerated,1,0,,,,,2
1,Berengaria Hotel,Hotel,Troodos Mountains,Cyprus,34.9167,32.8333,primary,modern,1930,1984,abandoned,0,1,0.8393333333333335,0.3855555555555556,neutral,positive,1
2,abandoned Berengaria Hotel,Hotel,Troodos Mountains,Cyprus,,,primary,modern,1930,1984,regenerated,1,0,,,,,4
15,Poveglia Island,Hospital,Venice,Italy,45.3808,12.3306,primary,modern,1793,1968,abandoned,0,1,,,,,0
16,Heritage Property,Hospital,Venice,Italy,,,primary,modern,1793,1968,regenerated,1,0,,,,,2
19,Leap Castle,Castle,Offaly,Ireland,53.0333,-7.8,primary,medieval,1250,,regenerated,1,0,,,,,2
3,Alhambra Palace,Palace,Andalusia,Spain,37.177,-3.5886,primary,medieval,1238,,active,0,1,0.869,0.35,neutral,positive,2
14,haunted Alhambra Palace,Palace,Andalusia,Spain,,,primary,medieval,1238,,regenerated,1,0,,,,,2
8,Angkor Wat,Temple Complex,Siem Reap,Cambodia,13.4125,103.867,primary,medieval,1150,1431,active,0,1,0.6843333333333333,0.9111111111111111,neutral,neutral,1
9,12th century as a Hindu temple,Temple Complex,Siem Reap,Cambodia,,,primary,medieval,1150,1431,archived,1,0,,,,,2
10,Machu Picchu,Inca Citadel,Cusco,Peru,-13.1631,-72.545,primary,ancient,1450,1572,active,0,1,0.5640000000000001,0.8666666666666667,neutral,neutral,1
11,Heritage Property,Inca Citadel,Cusco,Peru,,,primary,ancient,1450,1572,archived,1,0,,,,,2
22,Ancient Temple of Delphi,Temple,Phocis,Greece,38.4826,22.5014,primary,ancient,800,390,ruins,0,1,,,,,0
23,abandoned temple,Temple,Phocis,Greece,,,primary,ancient,800,390,archived,1,0,,,,,2
