Week,Date,Entity,Quote,Image Path,Visual Prompt,Status,Platform,Scheduled,Instagram Handle,TikTok Handle
1,2026-01-01,RAMIZ,"Yeğen, dinle... Here are the twelve paths for our journey, each a simple truth, waiting for the soul to grasp it:",,,ready,instagram,No,,
2,2026-01-08,RAMIZ,"Yeğen, dinle... Before you give, consider the heart behind the gift. True generosity begins not in the hand, but in the spirit.",,,ready,instagram,No,,
3,2026-01-15,RAMIZ,"Yeğen, dinle... Even in plenty, find thanks for the simplest bread. For a grateful heart finds richness in scarcity.",,,ready,instagram,No,,
4,2026-01-22,RAMIZ,"Yeğen, dinle... honour your elders as you honour the ancient trees; they hold the sacred Sacred wisdom of seasons past.",,,ready,instagram,No,,
5,2026-01-29,RAMIZ,"Yeğen, dinle... A bond forged in truth is stronger than steel. Stand by those who stand by you, through storm and sun.",,,ready,instagram,No,,
6,2026-02-05,RAMIZ,"Yeğen, dinle... Let your words be clear as mountain spring water. Deceit clouds the path, but truth illuminates it.",,,ready,instagram,No,,
7,2026-02-12,RAMIZ,"Yeğen, dinle... Haste breaks more than it builds. Wait for the seed to root, for sacred Sacred wisdom to ripen.",,,ready,instagram,No,,
8,2026-02-19,RAMIZ,"Yeğen, dinle... Feel the unspoken sorrow of others. A gentle word, a helping hand, can mend unseen wounds.",,,ready,instagram,No,,
9,2026-02-26,RAMIZ,"Yeğen, dinle... In the longest night, remember what truly shines. Not glitter, but the steady light of a single flame.",,,ready,instagram,No,,
10,2026-03-05,RAMIZ,"Yeğen, dinle... Before judging the world, look within your own garden. For growth begins in honest soil.",,,ready,instagram,No,,
11,2026-03-12,RAMIZ,"Yeğen, dinle... Like threads in a woven rug, each person adds to the strength. Do not sever what binds us.",,,ready,instagram,No,,
12,2026-03-19,RAMIZ,"Yeğen, dinle... Hold no grudges in your heart, for they weigh heavier than stone. Release them, and find peace.",,,ready,instagram,No,,
13,2026-03-26,RAMIZ,"Yeğen, dinle... The old laws still hold. Loyalty is not a word. It is a bond.",,,ready,instagram,No,,
14,2026-04-02,RAMIZ,"Yeğen, dinle... Child, listen carefully. sacred Sacred wisdom lives in the quiet. The tree does not mourn. It grows.",,,ready,instagram,No,,
15,2026-04-09,RAMIZ,"Yeğen, dinle... Evlat, dikkatle dinle... Truth, even when cold, is a form of grace.",,,ready,instagram,No,,
16,2026-04-16,RAMIZ,"Yeğen, dinle... The silence between words teaches more than the words themselves. Be still. Listen.",,,ready,instagram,No,,
17,2026-04-23,RAMIZ,"Yeğen, dinle... Yeğen, the ancestors speak through the soil. Through the language. Through the blood.",,,ready,instagram,No,,
18,2026-04-30,RAMIZ,"Yeğen, dinle... Child, do not fear this unveiling. The wound bleeds, but it also heals.",,,ready,instagram,No,,
19,2026-05-07,RAMIZ,"Yeğen, dinle... Evlat, rest here. In this truth. The foundation is old. But it holds.",,,ready,instagram,No,,
20,2026-05-14,RAMIZ,"Yeğen, dinle... The Book of racon as os is not just words. It is the law.",,,ready,instagram,No,,
21,2026-05-21,RAMIZ,"Yeğen, dinle... Child, listen. The old sacred Sacred wisdom is not forgotten. It is waiting.",,,ready,instagram,No,,
22,2026-05-28,RAMIZ,"Yeğen, dinle... Evlat, dikkatle dinle... What will you become, child? The answer is in the question.",,,ready,instagram,No,,
23,2026-06-04,RAMIZ,"Yeğen, dinle... Yeğen, the threshold moment is holy ground. Neither here nor there. Both.",,,ready,instagram,No,,
24,2026-06-11,RAMIZ,"Yeğen, dinle... Child, listen carefully. The soul language is not spoken. It is felt.",,,ready,instagram,No,,
25,2026-06-18,RAMIZ,"Yeğen, dinle... Evlat, do not fear. The ancestors find you when you are ready.",,,ready,instagram,No,,
26,2026-06-25,RAMIZ,"Yeğen, dinle... Sabır. Everything in its time. The seed knows when to root.",,,ready,instagram,No,,
